Negara Tempat Tinggal,2020,2019,2018,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Brunei Darussalam,-,480.15,1059.37,986.05,1022.23,772.93,742.5,956.7,756,891.7,748,1011.73,828.72,550.87,822.6,564.94,1083.23,641,796,1027
Malaysia,936.99,495.16,843.34,719.69,710,709.39,700.59,727.92,714.81,676.6,684.81,684.86,585.99,474.8,526.81,511.58,698.13,589,483,616
Filipina,-,823.05,1164.65,766.79,792.75,840.71,836.98,850.7,786.06,854.79,995.94,1131.81,668.14,586.4,965.56,1007.01,835.45,636,607,586
Singapura,1929.97,849.77,1049.22,588.53,658.74,658.59,642.17,639.01,700.2,675.81,602.81,818.07,593.02,507.82,507.78,457.79,538.85,527,385,639
Thailand,-,878.29,1490.58,910.19,883.18,929.06,984.06,964.14,902.29,787.05,858.65,1069.17,893.86,876.84,672.31,698.72,748.77,920,868,716
Hong Kong,-,1082.72,1778.62,1067.73,1340.44,1114.78,1059.25,1006.95,1056.33,962.35,856.32,1261.13,844.58,789.87,871.53,836.34,934.88,914,1172,822
India,-,1080.42,1523.63,1073.66,1129.01,1140.18,1102.52,1019.13,1135.48,1074.89,1327.94,1205.63,1101.72,962.33,903.99,855.19,767.33,1047,914,1132
Jepang,2045.74,943.6,1349.55,1175.95,1138.45,1137.51,1136.86,1060.17,1017.4,978.28,916,1196.94,741,968.36,838.5,887.02,966.69,958,1138,1077
Korea Selatan,-,1144.66,1637.74,1086.5,1147.19,1137.1,1111.19,931.82,966.54,912.92,847.77,1014.68,930.07,858.79,872.89,910.13,1107.31,649,1060,1155
Pakistan,-,1201.13,1842.5,1124.22,1854,1161.35,989.6,2151.83,831.25,1064.4,846.17,1090.56,1064.64,899.22,754.65,1045.16,699.66,1151,658,701
Bangladesh,-,1005.81,1311.14,733.53,903.3,793.5,901.84,1119.85,1525.38,1202.32,1122.8,1567.5,892.5,1272.89,1088.04,839.73,773.37,986,1051,-
Srilanka,-,873.04,1436.42,939.38,1218.12,922.81,818.05,1122.52,1084.37,1270.64,1112.11,783.35,909.55,704.03,997.25,1019.4,1041.09,-,-,-
Taiwan,-,1007.35,1403.38,990.01,904.47,1043.67,942.1,944.53,848,865.62,789,1044.24,781.96,728.61,810.63,747.71,1077.33,-,-,-
Cina,-,1114.48,1385.55,1196.15,1059.27,1059.04,1004.17,1040.38,906.71,923.33,888.54,1112.71,971.27,779.24,654.73,875.68,1115.6,-,-,-
Arab Saudi,-,1592.79,2277.41,2237.5,2241.37,1568.81,1444.82,1424.47,1638.84,1610.95,1330.14,2266.06,1404.44,1661.57,1630.79,1810.8,1444.98,-,-,-
Austria,-,1256.5,1740.06,1545.58,1721.84,1740.81,1548.54,1676.29,1596.19,1472.86,1412.56,1404.54,1334.1,1283.68,1158.8,1464.27,1141.71,-,-,-
Belgia,-,1412.18,1935.6,1617.34,1685.78,1711.99,1839.81,1666.21,1451.38,1808.53,1326.53,1673.32,1810.35,1195.14,1192.05,1280.09,1538.41,-,-,-
Denmark,-,1398.82,2033.68,1692.65,1648.95,1863.13,1964.55,1685.34,1654.44,1610.94,1160.57,1635.88,1391.38,493.9,733.17,1177.52,1253.02,-,-,-
Perancis,-,1239.35,1526.18,1750.87,1722.78,1646.66,1657.1,1609.17,1545.58,1497.46,1405.95,1478.65,1161.98,1337.01,1152.38,1267.33,1111.55,995,1636,1318
Jerman,-,1238.96,1532.12,1660.77,1576.24,1689.64,1496.26,1654.25,1580.42,1496.65,1446.3,1617.92,1177.91,1119.76,1205.82,1245.5,1182.64,1017,1195,1307
Italia,-,1280.56,1512.44,1763.95,1620.91,1487.29,1668.5,1462.51,1487.84,1275.47,1389.3,1356.44,1187.48,1096.87,1194.42,1141.25,1014.98,965,1683,1503
Belanda,-,1400.25,1866.4,1860.08,1593.75,1890.25,1774.19,1658.79,1653.57,1772.96,1482.49,1719.98,1375.16,1365.91,1454.95,1365.35,1171.46,1076,1447,1420
Spanyol,-,1362.74,1979.46,1434.08,1676,1718.21,1512.68,1576.29,1406.16,1600.31,1532.29,1388.45,1387.16,2003.33,1405.77,1247.82,1237.42,-,-,-
Portugal,-,1156.84,1530.3,1458.99,1307.27,1486.42,1290.52,1420.32,1421.45,1424.23,1277.62,-,-,-,-,-,-,-,-,-
