Kebangsaan,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Brunei Darussalam,19078,16932,16423,38679,35874,13668,10536,11594,11154,15454,13819,10680,14957,13828,13163
Malaysia,1418256,1380686,1269089,1173351,1171737,1041053,1009722,799990,699124,564321,482059,407958,397983,409231,408562
Filipina,248182,247573,236866,210029,171181,196429,195675,192868,187711,100176,66679,54549,61711,52487,48784
Singapura,1559044,1432060,1324706,1324839,1206360,1138071,1197267,1160200,1164082,1066461,1619572,1415563,1288496,1322703,1301570
Thailand,114272,125059,114867,115036,111645,93381,66012,71753,66864,73936,49333,33762,43486,41364,36914
Vietnam,48018,43249,33598,31106,24929,20785,19710,16392,17154,9745,-,-,-,-,-
Hongkong,94560,95258,81782,84985,73658,63801,58260,63774,72033,69339,62089,13278,11518,10753,9620
India,267082,231266,196983,181791,159373,156545,155391,123465,94258,58359,41582,32820,39314,37426,80525
Jepang,505175,497399,463486,423113,416151,488320,559888,517356,432989,511007,652854,502997,679607,690652,710769
Korea Selatan,352004,351154,328989,320596,296060,260314,331409,337246,298228,263356,246545,190630,218155,211220,181032
Pakistan,7057,6281,5330,6598,5772,5880,7273,6822,7101,19485,7473,7307,18984,16995,16975
Bangladesh,13891,8132,5998,6394,5557,6347,6155,6390,7407,23332,6731,7557,-,-,-
Srilanka,8760,8288,8786,7019,6195,6715,6774,6591,8309,7366,5927,5283,-,-,-
Taiwan,220328,247146,217708,228922,214192,204794,218146,218268,226611,230235,368680,345398,384062,370851,374679
Tiongkok / Cina,1052705,858140,726088,594997,511188,444598,354641,269216,182341,128681,39936,31497,19840,18028,16266
Australia,1145576,983911,952717,933376,769585,571541,418899,287103,208205,356287,444040,310742,384667,452144,438473
Selandia Baru,79380,67852,59606,52458,45335,37704,36291,39635,31508,50533,39550,32775,47647,46292,45908
Asia Pasifik Lainnya,321682,343027,333144,317117,302550,167137,236154,220148,98796,94916,97027,137393,178614,180461,120298
Amerika Serikat,246397,236375,217599,203205,177677,165098,174547,138266,129152,169232,162627,141635,175474,196625,211033
Kanada,68432,65385,58245,57129,48349,43948,45408,40466,43077,46567,40803,34405,45350,45522,44324
Amerika Lainnya,46391,41813,36681,32972,29439,28624,30013,41998,23809,67283,21426,15231,23309,20516,20227
Austria,20599,21645,19120,17374,16889,17399,16855,16275,16692,15880,22773,14644,18597,17911,21403
Belgia,33601,34414,28243,24579,24493,25781,22854,20567,21869,23554,26535,23975,26874,24324,22268
Denmark,22577,22890,21168,19950,17565,20062,18434,13909,12382,18972,19234,18897,25190,19774,19864
Perancis,208537,201917,184273,171736,160913,165656,129446,114094,108697,120122,97225,81314,113434,107714,106166
Jerman,184463,173470,158212,149110,144411,133032,142767,111512,106916,144983,152063,131012,166501,184334,176771
Italia,62265,56705,46651,42256,39211,38028,40006,39135,40992,44058,50567,39750,70608,67329,72038
Belanda,168494,161402,152749,163268,158957,154932,141202,111882,93147,105954,107919,103866,125855,131124,120326
Spanyol,47376,39383,34991,30657,30574,28200,30278,28738,29325,33082,37708,30579,48317,37212,28853
Portugal,17675,18194,15406,13661,11629,11331,11368,12222,10303,9527,-,-,-,-,-
Swedia,32308,29281,26097,26504,24603,22166,21806,20821,20478,47484,26973,24205,61705,53305,59029
Norwegia,17253,18174,17118,17803,16226,16261,16468,14799,14121,22943,13338,11897,-,-,-
Finlandia,15332,15074,15035,13137,11566,15591,9819,8517,9397,17662,8766,7992,-,-,-
Swiss,45567,43906,37756,38704,35334,39510,34024,30425,31920,46758,34512,26140,38705,36999,39429
Inggris,244594,236794,219726,201221,192335,183262,184604,148756,137655,214515,128578,121361,173132,205916,193303
Rusia,94345,99872,99448,96438,83836,77018,74483,51687,43167,47212,19139,13930,12643,13233,12027
Eropa Lainnya,122566,111976,98086,84473,80001,80176,95440,100360,84999,43211,44508,31845,52579,55036,48907
